# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.,,,,,,,,
DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
3/1/2020 0:00,mains,Total Usage,,,,,1247.115,1.247
3/1/2020 0:00,always_on,Always On,AlwaysOn,,,,407,0.407
3/1/2020 0:00,cfd74978,Furnace,Furnace,,,,341.049,0.341
3/1/2020 0:00,solar,Solar Production,Solar,,,,4.49,0.004
3/1/2020 0:00,63b2178f,Furnace1,Mystery Heat,,,,59.842,0.06
3/1/2020 0:00,77639ae9,Portable Heater,Space Heater,,,,14.795,0.015
3/1/2020 0:00,IQP6F3DS,kass,Mystery Device,,,,61.74,0.062
3/1/2020 0:00,hgLq1FnZ,kasa plug,Smart Plug,,,,38.076,0.038
3/1/2020 1:00,mains,Total Usage,,,,,1348.889,1.349
3/1/2020 1:00,always_on,Always On,AlwaysOn,,,,407,0.407
3/1/2020 1:00,cfd74978,Furnace,Furnace,,,,381.386,0.381
3/1/2020 1:00,solar,Solar Production,Solar,,,,4.487,0.004
3/1/2020 1:00,63b2178f,Furnace1,Mystery Heat,,,,63.496,0.063
3/1/2020 1:00,77639ae9,Portable Heater,Space Heater,,,,26.295,0.026
3/1/2020 1:00,IQP6F3DS,kass,Mystery Device,,,,54.274,0.054
3/1/2020 1:00,hgLq1FnZ,kasa plug,Smart Plug,,,,61.349,0.061
3/1/2020 2:00,mains,Total Usage,,,,,1010.842,1.011
3/1/2020 2:00,always_on,Always On,AlwaysOn,,,,406.333,0.406
3/1/2020 2:00,cfd74978,Furnace,Furnace,,,,201.455,0.201
3/1/2020 2:00,solar,Solar Production,Solar,,,,3.566,0.004
3/1/2020 2:00,63b2178f,Furnace1,Mystery Heat,,,,34.862,0.035
3/1/2020 2:00,77639ae9,Portable Heater,Space Heater,,,,26.886,0.027
3/1/2020 2:00,IQP6F3DS,kass,Mystery Device,,,,41.27,0.041
3/1/2020 2:00,hgLq1FnZ,kasa plug,Smart Plug,,,,63.126,0.063
3/1/2020 3:00,mains,Total Usage,,,,,1366.365,1.366
3/1/2020 3:00,always_on,Always On,AlwaysOn,,,,406,0.406
3/1/2020 3:00,25c55a21,Dishwasher,Dishwasher,,,,403.024,0.403
3/1/2020 3:00,solar,Solar Production,Solar,,,,4.605,0.005
3/1/2020 3:00,77639ae9,Portable Heater,Space Heater,,,,30.089,0.03
3/1/2020 3:00,IQP6F3DS,kass,Mystery Device,,,,76.516,0.077
3/1/2020 3:00,hgLq1FnZ,kasa plug,Smart Plug,,,,77.181,0.077
3/1/2020 4:00,mains,Total Usage,,,,,1347.066,1.347
3/1/2020 4:00,always_on,Always On,AlwaysOn,,,,406,0.406
3/1/2020 4:00,25c55a21,Dishwasher,Dishwasher,,,,426.398,0.426
3/1/2020 4:00,solar,Solar Production,Solar,,,,4.675,0.005
3/1/2020 4:00,77639ae9,Portable Heater,Space Heater,,,,42.021,0.042
3/1/2020 4:00,IQP6F3DS,kass,Mystery Device,,,,80.46,0.08
3/1/2020 4:00,hgLq1FnZ,kasa plug,Smart Plug,,,,78.256,0.078
3/1/2020 5:00,mains,Total Usage,,,,,1163.784,1.164
3/1/2020 5:00,always_on,Always On,AlwaysOn,,,,406,0.406
3/1/2020 5:00,25c55a21,Dishwasher,Dishwasher,,,,222.999,0.223
3/1/2020 5:00,solar,Solar Production,Solar,,,,3.848,0.004
